year,voter_name,affiliation,yr_contrary,num_awards_voted
2014,Marc Berman,New York Post,1.8350648575400157,3
2014,Marc Spears,Yahoo! Sports,5.4912169529569095,9
2014,Marc Stein,ESPN.com,4.705483578699348,9
2014,Mark Boyle,WIBC,4.766528000412498,9
2014,Mark Followill,TXA-21/Fox Sports Net,6.720344742730437,7
2014,Marv Albert,TNT,5.079957634561676,9
2014,Mary Schmitt Boyer,Cleveland Plain Dealer,4.9783692159486765,9
2014,Matt Bullard,Comcast SportsNet Houston,3.3888965656213657,5
2014,Matt Devlin,SportsNet/TSN,2.336643754638413,4
2014,Matt Pinto,WWLS / 98.1,5.563870813045702,7
2014,Matt Winer,NBA TV,6.50202123926882,9
2014,Michael Smith,Prime Ticket,5.55306401792676,7
2014,Michael Wallace,ESPN.com,1.8946609613729601,3
2014,Michael Wilbon,ESPN,6.4079227921633155,9
2014,Mike Breen,ABC Sports,5.917825344815327,9
2014,Mike Gorman,Comcast SportsNet,2.660970617636823,4
2014,Mike Inglis,WIOD Radio,3.0687540083009273,3
2014,Mike Monroe,San Antonio Express-News,6.2797138037460885,9
2014,Mike Rice,Comcast SportsNet NW,7.531299478323368,7
2014,Mike Tirico,ESPN,5.553364049049533,9
2014,Mitch Lawrence,New York Daily News,8.073122994410056,9
2014,NBA Fan Vote,NBA.com Fan Vote,0.5000229535038644,1
2014,Neil Funk,Comcast SportsNet,1.2975330769190636,3
2014,Nick Friedell,ESPNChicago.com,1.767648586265561,4
2014,Paul Coro,Arizona Republic,5.604716414867281,9
2014,Paul Jones,Raptors Radio,2.6434716730018266,4
2014,Pete Pranica,Fox Sports Tennessee,6.3954443694403045,9
2014,Phil Chenier,Comcast SportsNet,5.055822567117154,7
2014,Ralph Lawler,Prime Ticket,4.478105344094554,7
2014,Ric Bucher,Bleacher Report,7.934420545362708,9
2014,Rick Bonnell,Charlotte Observer,7.302484426079787,9
2014,Rod Boone,Newsday,3.37185102594598,4
2014,Ron Boone,ROOT Sports,6.492719155763883,9
2014,Ron Tillery,Memphis Commercial Appeal,9.73351473297486,9
2014,Rusty Simmons,San Francisco Chronicle,2.7499368598559646,5
2014,Sam Amick,USA Today,4.743417360467991,9
2014,Sam Smith,Bulls.com,8.043789983608034,9
2014,Scott Hastings,Altitude Sports & Entertainment,5.019066912811939,6
2014,Sean Deveney,The Sporting News,8.2340798910248,9
2014,Sean Grande,WEEI Radio,2.287589088430779,5
2014,Sean Kelley,Pelicans Radio,7.28031937140408,9
2014,Shaun Powell,Sports on Earth,4.6259780270497135,9
2014,Spero Dedes,MSG Network,1.6115120273112753,3
2014,Stacey King,Comcast SportsNet,3.5154341238616547,4
2014,Stefan Bondy,New York Daily News,3.7339138890852897,4
2014,Stephanie Ready,SportSouth,4.561754981509642,5
2014,Steve Aschburner,NBA.com,5.644067774060446,9
2014,Steve Buckhantz,Comcast SportsNet,5.509953232514898,7
2014,Steve Holman,Hawks Radio Network,7.956155832456266,9
2014,Steve Kerr,TNT,7.7940817680703915,9
2014,Steve Martin,Bobcats Radio,8.718733531404148,9
2014,Steve Popper,The Record,3.2792503962187234,4
2014,Ted Davis,WTMJ Radio,7.4985756558329,9
2014,Tim Bontemps,New York Post,2.8957082990866576,4
2014,Tim Capstraw,WFAN (660),2.4743897955224625,4
2014,Tim Kempton,KTAR Radio,7.974032388768708,9
2014,Tim Roye,KNBR Radio,3.8348638844955096,6
