voter_name,affiliation,forward,forward_2,center,guard,guard_2,forward_3,forward_4,center_2,guard_3,guard_4,forward_5,forward_6,center_3,guard_5,guard_6,year,award
Sekou Smith,NBA.com,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Thomas, Isaiah (Bos.)","Butler, Jimmy (Chi.)","George, Paul (Ind.)","Jordan, DeAndre (LA-C)","Lillard, Damian (Por.)","Curry, Stephen (G.S.)",2017,All-NBA
Sherrod Blakely,CSN New England,"Durant, Kevin (G.S.)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Antetokounmpo, Giannis (Mil.)","James, LeBron (Cle.)","Cousins, DeMarcus (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Hayward, Gordon (Utah)","Green, Draymond (G.S.)","Towns, Karl-Anthony (Min.)","Irving, Kyrie (Cle.)","DeRozan, DeMar (Tor.)",2017,All-NBA
Steve Aschburner,NBA.com,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Butler, Jimmy (Chi.)","Green, Draymond (G.S.)","Towns, Karl-Anthony (Min.)","Wall, John (Was.)","DeRozan, DeMar (Tor.)",2017,All-NBA
Steve Kyler,Basketball Insiders,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Jordan, DeAndre (LA-C)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Durant, Kevin (G.S.)","Green, Draymond (G.S.)","Cousins, DeMarcus (N.O.)","Lillard, Damian (Por.)","Curry, Stephen (G.S.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Gobert, Rudy (Utah)","DeRozan, DeMar (Tor.)","Paul, Chris (LA-C)",2017,All-NBA
Steve Smith,Turner,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","DeRozan, DeMar (Tor.)","Thomas, Isaiah (Bos.)","Hayward, Gordon (Utah)","Green, Draymond (G.S.)","Cousins, DeMarcus (N.O.)","Wall, John (Was.)","Curry, Stephen (G.S.)",2017,All-NBA
Tim Reynolds,Associated Press,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Durant, Kevin (G.S.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)","Antetokounmpo, Giannis (Mil.)","Butler, Jimmy (Chi.)","Whiteside, Hassan (Mia.)","Wall, John (Was.)","DeRozan, DeMar (Tor.)",2017,All-NBA
TJ Manotoc,ABC-CBN,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Jordan, DeAndre (LA-C)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Butler, Jimmy (Chi.)","George, Paul (Ind.)","Whiteside, Hassan (Mia.)","Paul, Chris (LA-C)","Wall, John (Was.)",2017,All-NBA
Tony Jones,Salt Lake Tribune,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Wall, John (Was.)","Green, Draymond (G.S.)","Hayward, Gordon (Utah)","Jordan, DeAndre (LA-C)","Paul, Chris (LA-C)","DeRozan, DeMar (Tor.)",2017,All-NBA
Vince Goodwill,CSN Chicago,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Antetokounmpo, Giannis (Mil.)","Butler, Jimmy (Chi.)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Paul, Chris (LA-C)","Durant, Kevin (G.S.)","Green, Draymond (G.S.)","Towns, Karl-Anthony (Min.)","Thomas, Isaiah (Bos.)","Wall, John (Was.)",2017,All-NBA
Weiping Zhang,CCTV,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Green, Draymond (G.S.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Irving, Kyrie (Cle.)","George, Paul (Ind.)","Hayward, Gordon (Utah)","Cousins, DeMarcus (N.O.)","Thomas, Isaiah (Bos.)","Thompson, Klay (G.S.)",2017,All-NBA
