voter_name,first_vote,last_vote,career_contrary_sc,num_awards_voted,contrary_per_ballot,contrary_per_pick,num_picks_made
Lisa Shen Yang,2017,2018,98.1797597051318,18,5.454431094729545,0.8925432700466527,110
Malik Rose,2015,2015,15.344529946137886,4,3.8361324865344715,0.8076068392704151,19
Manny Navarro,2017,2018,120.09545855930553,18,6.671969919961418,1.0917768959936867,110
Marc Berman,2014,2020,272.79104724155434,39,6.994642236962932,1.1558942679726878,236
Marc Kestecher,2017,2020,197.88875122174977,36,5.496909756159716,0.8994943237352262,220
Marc Spears,2014,2017,228.15569436851533,36,6.337658176903203,1.037071338038706,220
Marc Stein,2014,2017,194.71843383387142,36,5.408845384274206,0.885083790153961,220
Marc Zumoff,2015,2016,70.7168044889828,12,5.893067040748567,0.9687233491641479,73
Marcelo Nogueira,2017,2017,73.24959874515797,9,8.138844305017551,1.3318108862755995,55
Maria Taylor,2020,2020,57.63241733784644,9,6.403601926427382,1.04786213341539,55
Mark Boyle,2014,2016,158.95502601677913,27,5.887223185806635,0.9633637940410856,165
Mark Followill,2014,2016,144.61122036263353,21,6.8862485886968345,1.1039024455162865,131
Mark Jackson,2017,2020,224.06443447717376,36,6.224012068810382,1.0184747021689717,220
Mark Jones,2019,2020,112.94014281911375,18,6.274452378839652,1.0267285710828522,110
Mark Medina,2015,2020,188.9347283870699,36,5.248186899640831,0.8587942199412268,220
Marv Albert,2014,2020,291.0956279462024,54,5.390659776781526,0.8821079634733406,330
Mary Schmitt Boyer,2014,2014,47.509757953643295,9,5.278861994849255,0.8638137809753327,55
Massimo Lopes Pegna,2019,2019,56.65251205914121,9,6.294723562126801,1.0300456738025674,55
Matt Bullard,2014,2016,81.49585478966753,13,6.268911906897502,0.9476262184845062,86
Matt Devlin,2014,2016,48.04077668557092,9,5.337864076174546,0.7748512368640471,62
Matt Moore,2017,2017,57.66092994904195,9,6.406769994337995,1.0483805445280354,55
Matt Pinto,2014,2016,117.92163645663716,18,6.551202025368731,1.1230632043489253,105
Matt Velazquez,2018,2020,117.02757856940167,27,4.334354761829691,0.7092580519357677,165
Matt Winer,2014,2020,340.0773656014614,63,5.398053422245419,0.8833178327310686,385
Maxime Malet,2019,2020,99.43021877379263,18,5.52390104298848,0.9039110797617512,110
Michael Cage,2016,2016,42.71607540106797,5,8.543215080213594,1.2563551588549402,34
Michael Grange,2017,2019,171.64433209930635,27,6.357197485159495,1.0402686793897356,165
Michael Smith,2014,2016,139.77755532926244,20,6.988877766463122,1.1364028888557922,123
Michael Wallace,2014,2014,20.115792176112524,3,6.7052640587041745,1.1175440097840292,18
Michael Wilbon,2014,2020,349.179228408113,63,5.542527435049412,0.9069590348262675,385
Michelle Beadle,2017,2019,145.76780890697475,27,5.398807737295361,0.8834412661028773,165
Mike Breen,2014,2020,325.73955103837375,63,5.17046906410117,0.8460767559438279,385
Mike Crispino,2015,2016,55.41201839314116,7,7.9160026275915945,1.847067279771372,30
Mike Fratello,2015,2016,158.3151934981514,18,8.795288527675076,1.4392290318013763,110
Mike Ganter,2018,2020,102.58483956727085,18,5.6991577537372695,0.9325894506115532,110
Mike Gorman,2014,2016,78.10860976776078,12,6.509050813980065,1.100121264334659,71
Mike Inglis,2014,2016,53.77949534397627,8,6.722436917997034,1.344487383599407,40
Mike Monroe,2014,2016,156.96767609252575,27,5.813617633056509,0.9513192490456106,165
Mike Rice,2014,2016,172.9362726527042,21,8.235060602509723,1.4292253938240016,121
Mike Singer,2019,2019,39.74880766274737,9,4.4165341847497075,0.7227055938681339,55
Mike Tirico,2014,2016,154.38043632038958,27,5.717793937792207,0.9356390080023611,165
Mirjam Swanson,2019,2020,102.48755319351964,18,5.693752955195536,0.9317050290319968,110
Mitch Lawrence,2014,2014,80.90386595834161,9,8.989318439815735,1.4709793810607565,55
Molly Sullivan,2015,2015,22.78311405940518,4,5.695778514851295,1.1991112662844832,19
Nate Taylor,2016,2017,89.1161100900315,13,6.855085391540884,1.2042717579733986,74
NBA Fan Vote,2014,2020,72.03811611644016,11,6.5489196469491056,1.5327258748178758,47
Neil Funk,2014,2016,68.27268095792907,10,6.827268095792907,1.0836933485385567,63
Nick Friedell,2014,2016,56.57009928175604,10,5.657009928175604,0.9753465393406214,58
Nick Kosmider,2020,2020,59.03298030139125,9,6.559220033487916,1.07332691457075,55
Nira Khurana,2017,2019,150.68103121192033,27,5.580778933774827,0.9132183709813353,165
Olgun Uluc,2019,2019,50.001398610347415,9,5.555710956705268,0.909116338369953,55
Paul Coro,2014,2016,166.06690808837757,27,6.150626225495466,1.0064661096265308,165
Paul Flannery,2017,2019,125.2495767812223,27,4.638873214119345,0.75908834412862,165
Paul Jones,2014,2016,66.90101664489674,11,6.081910604081522,1.0967379777851924,61
Pete Pranica,2014,2016,179.73487413816252,27,6.656847190302316,1.0893022675040154,165
Peter Botte,2015,2015,16.47578573669611,4,4.118946434174028,0.8671466177208479,19
Phil Chenier,2014,2016,148.43760707547713,21,7.068457479784625,1.1331115043929552,131
Rachel Nichols,2017,2020,172.93899771363022,36,4.803861047600839,0.7860863532437737,220
Ralph Lawler,2014,2016,166.13322814291027,20,8.306661407145514,1.2126513003132136,137
Ramona Shelburne,2015,2020,291.59503605686143,54,5.399908075127064,0.8836213213844286,330
Reggie Miller,2017,2019,168.95245739833317,27,6.257498422160488,1.0239542872626253,165
Reid Forgrave,2019,2019,44.09751827097525,9,4.899724252330583,0.8017730594722773,55
Remi Reverchon,2020,2020,57.123287556062586,9,6.347031950673621,1.038605228292047,55
Renjun Bao,2020,2020,48.93618575424978,9,5.43735397269442,0.8897488318954505,55
Ric Bucher,2014,2020,447.08518181270523,63,7.096590187503257,1.1612602125005331,385
Richard Walker,2017,2019,214.03643870210286,27,7.927275507485291,1.2971905375885022,165
Rick Bonnell,2014,2016,146.62982569355097,26,5.639608680521191,0.9775321712903398,150
Rob Mahoney,2018,2019,94.58547868756983,18,5.254748815976102,0.8598679880688167,110
Rod Beard,2016,2020,226.16658104235944,43,5.259687931217662,0.8698714655475364,260
Rod Boone,2014,2015,56.922254252291005,8,7.115281781536376,1.094658735620981,52
Ron Boone,2014,2016,164.78909822154685,27,6.103299934131365,0.9987218074033143,165
Ron Tillery,2014,2018,318.5375560779366,45,7.078612357287479,1.1583183857379513,275
Rosalyn Gold-Onwude,2018,2019,82.12860956425943,18,4.562700531347747,0.7466237233114494,110
Royce Young,2016,2020,254.98286767245062,41,6.2190943334744055,1.0536482135225231,242
Rusty Simmons,2014,2016,90.41059899300336,17,5.3182705290001975,0.886378421500033,102
Ryan Wolstat,2017,2019,88.43282477229457,18,4.91293470957192,0.8039347706572233,110
Sage Steele,2015,2017,160.02400428794587,27,5.926814973627625,0.969842450229975,165
Sam Amick,2014,2020,305.5683213623257,63,4.850290815275011,0.7936839515904565,385
Sam Smith,2014,2016,194.9281599781398,27,7.219561480671844,1.181382787746302,165
Scott Agness,2019,2019,35.497242532361014,9,3.9441380591512236,0.6454044096792911,55
Scott Bordow,2018,2018,62.739842255621404,9,6.971093583957934,1.140724404647662,55
Scott Hastings,2014,2016,172.0728813789135,20,8.603644068945675,1.3035824346887388,132
Scott Lauer,2015,2015,39.764880097115096,5,7.952976019423019,1.282738067648874,31
Sean Deveney,2014,2019,374.1420934869651,54,6.92855728679565,1.13376391965747,330
Sean Grande,2014,2016,86.95494211555693,14,6.211067293968353,0.8872953277097646,98
Sean Kelley,2014,2016,188.96383320467712,27,6.998660489062115,1.145235352755619,165
Seerat Sohi,2020,2020,75.95646474161121,9,8.439607193512357,1.3810266316656585,55
Sekou Smith,2017,2020,189.21792867642716,36,5.256053574345199,0.8600814939837599,220
Shams Charania,2020,2020,58.342630143530386,9,6.482514460392265,1.0607750935187343,55
Shaun Powell,2014,2020,92.46559005857078,18,5.136977225476155,0.8405962732597344,110
Sherman Hamilton,2015,2016,43.7399898026734,6,7.289998300445567,1.3668746813335437,32
Simone Sandri,2020,2020,45.502011456812,9,5.055779050756889,0.8273092992147636,55
Spero Dedes,2014,2014,31.033316444776315,3,10.344438814925438,0.8866661841364661,35
Stacey King,2014,2016,92.37739783283155,12,7.698116486069296,1.301090110321571,71
Stefan Bondy,2014,2019,196.5147333428715,30,6.55049111142905,1.0565308244240403,186
Stephanie Ready,2014,2016,128.32270194481256,15,8.554846796320838,1.2105915277812507,106
Stephen A. Smith,2020,2020,49.20759517501312,9,5.467510575001458,0.8946835486366022,55
Steve Albert,2015,2015,13.872893532751139,4,3.4682233831877847,0.7301522911974283,19
Steve Aschburner,2014,2020,331.75273797185326,63,5.265916475743703,0.861695423303515,385
Steve Buckhantz,2014,2016,150.1802910705369,21,7.151442431930328,1.1732835239885695,128
Steve Holman,2014,2016,186.44412031635284,27,6.905337789494549,1.1299643655536535,165
Steve Kerr,2014,2014,70.05895289356377,9,7.784328099284863,1.2737991435193412,55
Steve Kyler,2017,2017,74.74167217588267,9,8.304630241764741,1.3589394941069577,55
Steve Martin,2014,2016,159.97318568104808,19,8.419641351634109,1.2596313833153392,127
Steve Popper,2014,2016,77.77257337790913,13,5.982505644454548,0.960155226887767,81
Steve Smith,2017,2020,175.8525392054357,36,4.884792755706547,0.7993297236610714,220
Ted Davis,2014,2016,195.17880608984453,27,7.228844669994242,1.1829018550899668,165
Thales Soares,2018,2018,67.30341569265464,9,7.478157299183849,1.2236984671391753,55
Tim Bontemps,2014,2020,178.96110622203307,26,6.883119470078195,1.1545877820776327,155
Tim Capstraw,2014,2016,61.54100187166836,11,5.594636533788033,0.9768412995502914,63
Tim Kempton,2014,2016,171.23555208626684,22,7.783434185739401,1.3274073805136963,129
Tim MacMahon,2019,2019,39.42436675437363,9,4.380485194930404,0.7168066682613388,55
Tim Reynolds,2016,2020,323.9534899833148,45,7.198966444073662,1.1780126908484174,275
Tim Roye,2014,2016,89.61680599430751,17,5.271576823194559,0.9433347999400791,95
TJ Manotoc,2017,2018,110.0044029110506,18,6.111355717280589,1.0000400264640965,110
Tom Heinsohn,2014,2016,82.27552095889207,12,6.856293413241006,1.1588101543505926,71
Tom McGinnis,2016,2016,57.91849043182718,7,8.274070061689597,1.379011676948266,42
Tony Fiorentino,2014,2016,68.73601764436793,10,6.873601764436794,1.1851037524891024,58
Tony Jones,2017,2018,129.19982149096393,18,7.177767860609107,1.1745438317360357,110
Vince Ellis,2014,2016,149.2199293132443,22,6.7827240596929235,1.139083429872094,131
Vincent Goodwill,2014,2020,239.2284401772707,46,5.200618264723276,0.8762946526639952,273
Walt Frazier,2014,2016,44.65033162663969,10,4.465033162663969,1.0147802642418111,44
Weiping Zhang,2017,2019,167.87279515867414,27,6.217510931802746,1.0174108797495403,165
Will Guillory,2018,2020,144.81109752662215,27,5.363373982467487,0.8776430153128615,165
Xavier Vaution,2018,2018,53.02856890860448,9,5.892063212067164,0.9641557983382633,55
Yoko Miyaji,2017,2020,119.62274144515733,27,4.430471905376198,0.7249863117888323,165
Zach Harper,2019,2020,89.48983880327319,18,4.971657711292955,0.8135439891206654,110
Zach Lowe,2014,2020,346.69019765566946,63,5.503019010407452,0.9004940198848558,385
