voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award,all_defensive_first_team,all_defensive_first_team_2,all_defensive_first_team_3,all_defensive_first_team_4,all_defensive_first_team_5,all_defensive_second_team,all_defensive_second_team_2,all_defensive_second_team_3,all_defensive_second_team_4,all_defensive_second_team_5
David Aldridge,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Luguentz Dort, Oklahoma City","Bam Adebayo, Miami","Alex Caruso, Chicago","Jarrett Allen, Cleveland","Jalen Suggs, Orlando","Herbert Jones, New Orleans","Victor Wembanyama, San Antonio","Jrue Holiday, Boston"
Sam Amick,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Alex Caruso, Chicago","Herbert Jones, New Orleans","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Rudy Gobert, Minnesota","Bam Adebayo, Miami","Jalen Suggs, Orlando","Jrue Holiday, Boston","Jaden McDaniels, Minnesota","Luguentz Dort, Oklahoma City"
Jason Anderson,Sacramento Bee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Bam Adebayo, Miami","Herbert Jones, New Orleans","Alex Caruso, Chicago","Anthony Davis, Los Angeles Lakers","Jalen Suggs, Orlando","Derrick White, Boston","Shai Gilgeous-Alexander, Oklahoma City","Jaden McDaniels, Minnesota"
Greg Anthony,WarnerMedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Jalen Suggs, Orlando","Derrick White, Boston","Anthony Davis, Los Angeles Lakers","Rudy Gobert, Minnesota","Herbert Jones, New Orleans","Alex Caruso, Chicago","Victor Wembanyama, San Antonio","Chet Holmgren, Okahoma City","Bam Adebayo, Miami","Jaden McDaniels, Minnesota"
Steve Aschburner,NBA.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Alex Caruso, Chicago","Rudy Gobert, Minnesota","Herbert Jones, New Orleans","Victor Wembanyama, San Antonio","Jarrett Allen, Cleveland","Anthony Davis, Los Angeles Lakers","Luguentz Dort, Oklahoma City","Brook Lopez, Milwaukee","Jaden McDaniels, Minnesota"
Maxime Aubin,L'Equipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Rudy Gobert, Minnesota","Bam Adebayo, Miami","Herbert Jones, New Orleans","Chet Holmgren, Okahoma City","Jaden McDaniels, Minnesota","Derrick White, Boston","Jalen Suggs, Orlando","Jrue Holiday, Boston"
Evan Barnes,Newsday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Derrick White, Boston","Bam Adebayo, Miami","Jalen Suggs, Orlando","Alex Caruso, Chicago","Jrue Holiday, Boston","Herbert Jones, New Orleans","Brook Lopez, Milwaukee","Chet Holmgren, Okahoma City"
Howard Beck,The Ringer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Herbert Jones, New Orleans","Victor Wembanyama, San Antonio","Alex Caruso, Chicago","Jalen Suggs, Orlando","Derrick White, Boston","Jaden McDaniels, Minnesota","Luguentz Dort, Oklahoma City","Kawhi Leonard, LA Clippers"
Jason Beede,Orlando Sentinel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Victor Wembanyama, San Antonio","Herbert Jones, New Orleans","Jalen Suggs, Orlando","Anthony Davis, Los Angeles Lakers","Alex Caruso, Chicago","Derrick White, Boston","Kawhi Leonard, LA Clippers","Jaden McDaniels, Minnesota"
Tim Bontemps,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Alex Caruso, Chicago","Derrick White, Boston","Bam Adebayo, Miami","Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Jalen Suggs, Orlando","Herbert Jones, New Orleans","Victor Wembanyama, San Antonio","Chet Holmgren, Okahoma City","Aaron Gordon, Denver"
Rod Boone,Charlotte Observer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Shai Gilgeous-Alexander, Oklahoma City","Jrue Holiday, Boston","Kawhi Leonard, LA Clippers","Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","De'Aaron Fox, Sacramento","Dillon Brooks, Houston","Alex Caruso, Chicago","Chet Holmgren, Okahoma City","Brook Lopez, Milwaukee"
Chris Broussard,Fox Sports,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Alex Caruso, Chicago","Herbert Jones, New Orleans","Bam Adebayo, Miami","Chet Holmgren, Okahoma City","Anthony Edwards, Minnesota","Shai Gilgeous-Alexander, Oklahoma City","Derrick White, Boston"
Ric Bucher,FS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Giannis Antetokounmpo, Milwaukee","Jaden McDaniels, Minnesota","Luguentz Dort, Oklahoma City","Jalen Suggs, Orlando","Jrue Holiday, Boston","Victor Wembanyama, San Antonio"
Miguel Candeias,A Bola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Bam Adebayo, Miami","Alex Caruso, Chicago","Herbert Jones, New Orleans","Derrick White, Boston","Chet Holmgren, Okahoma City","Jalen Suggs, Orlando","Jaden McDaniels, Minnesota"
Tim Cato,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Bam Adebayo, Miami","Jalen Suggs, Orlando","Alex Caruso, Chicago","Herbert Jones, New Orleans","Kawhi Leonard, LA Clippers","Derrick White, Boston","Aaron Gordon, Denver"
Shams Charania,The Athletic/Stadium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Alex Caruso, Chicago","Victor Wembanyama, San Antonio","Jaden McDaniels, Minnesota","Derrick White, Boston","Chet Holmgren, Okahoma City","Shai Gilgeous-Alexander, Oklahoma City"
Anthony Chiang,Miami Herald,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Herbert Jones, New Orleans","Alex Caruso, Chicago","Anthony Davis, Los Angeles Lakers","Derrick White, Boston","Jalen Suggs, Orlando","Kawhi Leonard, LA Clippers","Jaden McDaniels, Minnesota"
Damichael Cole,Memphis Commercial Appeal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Herbert Jones, New Orleans","Anthony Davis, Los Angeles Lakers","Derrick White, Boston","Alex Caruso, Chicago","Bam Adebayo, Miami","Jalen Suggs, Orlando","Jaren Jackson Jr., Memphis","Jaden McDaniels, Minnesota"
Antoni Daimiel,Movistar+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Jalen Suggs, Orlando","Herbert Jones, New Orleans","Bam Adebayo, Miami","Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Alex Caruso, Chicago","Derrick White, Boston","Aaron Nesmith, Indiana","Chet Holmgren, Okahoma City","Anthony Davis, Los Angeles Lakers"
Dan Devine,Yahoo! Sports,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Alex Caruso, Chicago","Victor Wembanyama, San Antonio","Chet Holmgren, Okahoma City","Jalen Suggs, Orlando","Derrick White, Boston","Jaden McDaniels, Minnesota"
Bennett Durando,Denver Post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Victor Wembanyama, San Antonio","Herbert Jones, New Orleans","Jalen Suggs, Orlando","Bam Adebayo, Miami","Jarrett Allen, Cleveland","Derrick White, Boston","Alex Caruso, Chicago","Kentavious Caldwell-Pope, Denver"
James Edwards III,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Victor Wembanyama, San Antonio","Herbert Jones, New Orleans","Alex Caruso, Chicago","Jaden McDaniels, Minnesota","Anthony Davis, Los Angeles Lakers","Jalen Suggs, Orlando","Luguentz Dort, Oklahoma City","Derrick White, Boston"
Chris Fedor,Cleveland.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Alex Caruso, Chicago","Herbert Jones, New Orleans","Jalen Suggs, Orlando","Derrick White, Boston","Bam Adebayo, Miami","Kawhi Leonard, LA Clippers","Jarrett Allen, Cleveland"
Ignacio Garcia,MARCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Bam Adebayo, Miami","Domantas Sabonis, Sacramento","Giannis Antetokounmpo, Milwaukee","Brook Lopez, Milwaukee","Anthony Davis, Los Angeles Lakers","Alex Caruso, Chicago","Bobby Portis, Milwaukee","Anthony Edwards, Minnesota"
Brian Geltzeiler,Sirius Radio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Herbert Jones, New Orleans","Rudy Gobert, Minnesota","Jalen Suggs, Orlando","Derrick White, Boston","Anthony Davis, Los Angeles Lakers","Josh Hart, New York","Bam Adebayo, Miami","Jrue Holiday, Boston","Alex Caruso, Chicago"
Vince Goodwill,Yahoo! Sports,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Anthony Davis, Los Angeles Lakers","Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Jrue Holiday, Boston","Herbert Jones, New Orleans","Jayson Tatum, Boston","Bam Adebayo, Miami","Giannis Antetokounmpo, Milwaukee","Alex Caruso, Chicago","Luguentz Dort, Oklahoma City"
Michael Grange,Rogers Sportsnet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Bam Adebayo, Miami","Alex Caruso, Chicago","Jalen Suggs, Orlando","Anthony Davis, Los Angeles Lakers","Brook Lopez, Milwaukee","Derrick White, Boston","Herbert Jones, New Orleans","Luguentz Dort, Oklahoma City"
Jared Greenberg,WarnerMedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Herbert Jones, New Orleans","Bam Adebayo, Miami","Luguentz Dort, Oklahoma City","Anthony Davis, Los Angeles Lakers","Jrue Holiday, Boston","Jaden McDaniels, Minnesota","Derrick White, Boston","Jalen Suggs, Orlando"
Mike Greenberg,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Derrick White, Boston","Shai Gilgeous-Alexander, Oklahoma City","Alex Caruso, Chicago","Bam Adebayo, Miami","Giannis Antetokounmpo, Milwaukee","Jarrett Allen, Cleveland"
Will Guillory,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Alex Caruso, Chicago","Jalen Suggs, Orlando","Jaden McDaniels, Minnesota","Luguentz Dort, Oklahoma City","Derrick White, Boston"
Zach Harper,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Victor Wembanyama, San Antonio","Luguentz Dort, Oklahoma City","Herbert Jones, New Orleans","Jaden McDaniels, Minnesota","Jalen Suggs, Orlando","Alex Caruso, Chicago","Anthony Davis, Los Angeles Lakers","Derrick White, Boston"
Kurt Helin,NBCSports.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Bam Adebayo, Miami","Victor Wembanyama, San Antonio","Herbert Jones, New Orleans","Alex Caruso, Chicago","Jalen Suggs, Orlando","Derrick White, Boston","Jaden McDaniels, Minnesota","Aaron Gordon, Denver"
James Herbert,CBSSports.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Alex Caruso, Chicago","Jrue Holiday, Boston","Derrick White, Boston","Jalen Suggs, Orlando","Kawhi Leonard, LA Clippers"
Adam Himmelsbach,Boston Globe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Bam Adebayo, Miami","Herbert Jones, New Orleans","Jalen Suggs, Orlando","Derrick White, Boston","Jaden McDaniels, Minnesota","Alex Caruso, Chicago","Chet Holmgren, Okahoma City"
Cassidy Hubbarth,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Alex Caruso, Chicago","Victor Wembanyama, San Antonio","Herbert Jones, New Orleans","Kentavious Caldwell-Pope, Denver","Jalen Suggs, Orlando","Derrick White, Boston","Jaden McDaniels, Minnesota"
Kelly Iko,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Herbert Jones, New Orleans","Jaden McDaniels, Minnesota","Derrick White, Boston","Alex Caruso, Chicago","Jalen Suggs, Orlando","Anthony Davis, Los Angeles Lakers","Kawhi Leonard, LA Clippers"
Frank Isola,Sirius Radio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Jaylen Brown, Boston","Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Jaden McDaniels, Minnesota","Alex Caruso, Chicago","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Jalen Suggs, Orlando","Derrick White, Boston"
Richard Jefferson,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Shai Gilgeous-Alexander, Oklahoma City","Herbert Jones, New Orleans","Giannis Antetokounmpo, Milwaukee","Jaden McDaniels, Minnesota","Anthony Edwards, Minnesota","Chet Holmgren, Okahoma City","Domantas Sabonis, Sacramento","Anthony Davis, Los Angeles Lakers"
Ernie Johnson,WarnerMedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Alex Caruso, Chicago","Bam Adebayo, Miami","Herbert Jones, New Orleans","Jaden McDaniels, Minnesota","Jalen Suggs, Orlando","Anthony Davis, Los Angeles Lakers","Derrick White, Boston","Jayson Tatum, Boston"
Tony Jones,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Alex Caruso, Chicago","Victor Wembanyama, San Antonio","Chet Holmgren, Okahoma City","Derrick White, Boston","Jaden McDaniels, Minnesota","Jalen Suggs, Orlando"
Marc Kestecher,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Alex Caruso, Chicago","Bam Adebayo, Miami","Kawhi Leonard, LA Clippers","Derrick White, Boston","Jaden McDaniels, Minnesota","Jrue Holiday, Boston"
Tolis Kotzias,SDNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Giannis Antetokounmpo, Milwaukee","Bam Adebayo, Miami","Jaylen Brown, Boston","Rudy Gobert, Minnesota","Jrue Holiday, Boston","Josh Hart, New York","Anthony Davis, Los Angeles Lakers","Domantas Sabonis, Sacramento","Myles Turner, Indiana","Derrick White, Boston"
Adam Lefkoe,WarnerMedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Bam Adebayo, Miami","Herbert Jones, New Orleans","Jaden McDaniels, Minnesota","Alex Caruso, Chicago","Derrick White, Boston","Kawhi Leonard, LA Clippers","Jalen Suggs, Orlando"
Rob Mahoney,The Ringer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Jalen Suggs, Orlando","Herbert Jones, New Orleans","Alex Caruso, Chicago","Derrick White, Boston","Brook Lopez, Milwaukee","Kawhi Leonard, LA Clippers"
Chris Mannix,Sports Illustrated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Bam Adebayo, Miami","Jrue Holiday, Boston","Herbert Jones, New Orleans","Alex Caruso, Chicago","Anthony Davis, Los Angeles Lakers","Derrick White, Boston","Kawhi Leonard, LA Clippers","Jalen Suggs, Orlando"
Jeff McDonald,San Antonio Express-News,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Bam Adebayo, Miami","Alex Caruso, Chicago","Herbert Jones, New Orleans","Anthony Davis, Los Angeles Lakers","Jalen Suggs, Orlando","Jaden McDaniels, Minnesota","Derrick White, Boston","Kawhi Leonard, LA Clippers"
Steve McGehee,News 9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Bam Adebayo, Miami","Jalen Suggs, Orlando","Herbert Jones, New Orleans","Jaden McDaniels, Minnesota","Derrick White, Boston","Anthony Davis, Los Angeles Lakers","Alex Caruso, Chicago","Luguentz Dort, Oklahoma City"
Dave McMenamin,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Anthony Davis, Los Angeles Lakers","Rudy Gobert, Minnesota","Bam Adebayo, Miami","Jaylen Brown, Boston","Alex Caruso, Chicago","Victor Wembanyama, San Antonio","Jalen Suggs, Orlando","Herbert Jones, New Orleans","Jrue Holiday, Boston","Shai Gilgeous-Alexander, Oklahoma City"
Chao Meng,ESPN (China),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Alex Caruso, Chicago","Herbert Jones, New Orleans","Bam Adebayo, Miami","Jarrett Allen, Cleveland","Shai Gilgeous-Alexander, Oklahoma City","Anthony Davis, Los Angeles Lakers","Jalen Suggs, Orlando","Derrick White, Boston"
Jonathan Mitchell Fuentes,Cignal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Bam Adebayo, Miami","Herbert Jones, New Orleans","Anthony Davis, Los Angeles Lakers","Derrick White, Boston","Kawhi Leonard, LA Clippers","Jaden McDaniels, Minnesota","Alex Caruso, Chicago","Jalen Suggs, Orlando"
Yoko Miyaji,Sports Graphic Number,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Victor Wembanyama, San Antonio","Jalen Suggs, Orlando","Alex Caruso, Chicago","Derrick White, Boston","Kentavious Caldwell-Pope, Denver","Jaden McDaniels, Minnesota","Bam Adebayo, Miami","Herbert Jones, New Orleans"
Yoav Modai,Sport 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Alex Caruso, Chicago","Herbert Jones, New Orleans","Chet Holmgren, Okahoma City","Jarrett Allen, Cleveland","Derrick White, Boston","Bam Adebayo, Miami","Jalen Suggs, Orlando"
Eric Nehm,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Jalen Suggs, Orlando","Herbert Jones, New Orleans","Jrue Holiday, Boston","Alex Caruso, Chicago","Brook Lopez, Milwaukee","Victor Wembanyama, San Antonio","Chet Holmgren, Okahoma City"
Rachel Nichols,SHO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Alex Caruso, Chicago","Derrick White, Boston","Jalen Suggs, Orlando","Chet Holmgren, Okahoma City","Jaden McDaniels, Minnesota"
Kevin O'Connor,The Ringer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Bam Adebayo, Miami","Herbert Jones, New Orleans","Anthony Davis, Los Angeles Lakers","Jaden McDaniels, Minnesota","Kentavious Caldwell-Pope, Denver","Jalen Suggs, Orlando","Alex Caruso, Chicago","Jrue Holiday, Boston"
Chiney Ogwumike,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Bam Adebayo, Miami","Herbert Jones, New Orleans","Alex Caruso, Chicago","Derrick White, Boston","Anthony Davis, Los Angeles Lakers","Jalen Suggs, Orlando","Chet Holmgren, Okahoma City","Jaden McDaniels, Minnesota"
Candace Parker,WarnerMedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Anthony Davis, Los Angeles Lakers","Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Jalen Suggs, Orlando","Bam Adebayo, Miami","Jrue Holiday, Boston","Derrick White, Boston","Herbert Jones, New Orleans","Jaden McDaniels, Minnesota","Luguentz Dort, Oklahoma City"
Dave Pasch,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Rudy Gobert, Minnesota","Anthony Davis, Los Angeles Lakers","Shai Gilgeous-Alexander, Oklahoma City","Herbert Jones, New Orleans","Alex Caruso, Chicago","Victor Wembanyama, San Antonio","Kawhi Leonard, LA Clippers","Jalen Suggs, Orlando","Derrick White, Boston"
Kevin Pelton,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Alex Caruso, Chicago","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Rudy Gobert, Minnesota","Jalen Suggs, Orlando","Shai Gilgeous-Alexander, Oklahoma City","Herbert Jones, New Orleans","Kawhi Leonard, LA Clippers","Victor Wembanyama, San Antonio","Derrick White, Boston"
Kendrick Perkins,ESPN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Derrick White, Boston","Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Herbert Jones, New Orleans","Jaden McDaniels, Minnesota","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Anthony Edwards, Minnesota","Brandin Podziemski, Golden State","Jrue Holiday, Boston"
Michael Pina,The Ringer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Victor Wembanyama, San Antonio","Rudy Gobert, Minnesota","Herbert Jones, New Orleans","Alex Caruso, Chicago","Anthony Davis, Los Angeles Lakers","Jalen Suggs, Orlando","Derrick White, Boston","Kawhi Leonard, LA Clippers","Jaden McDaniels, Minnesota"
Julia Poe,Chicago Tribune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Victor Wembanyama, San Antonio","Alex Caruso, Chicago","Rudy Gobert, Minnesota","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Herbert Jones, New Orleans","Jalen Suggs, Orlando","Derrick White, Boston","Jaden McDaniels, Minnesota","Jrue Holiday, Boston"
Keith Pompey,Philadelphia Inquirer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Herbert Jones, New Orleans","Derrick White, Boston","Alex Caruso, Chicago","Jrue Holiday, Boston","Bam Adebayo, Miami","Jalen Suggs, Orlando","Jaden McDaniels, Minnesota","Jarrett Allen, Cleveland"
Shaun Powell,NBA.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Anthony Davis, Los Angeles Lakers","Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Alex Caruso, Chicago","Luguentz Dort, Oklahoma City","Jarrett Allen, Cleveland","Jaden McDaniels, Minnesota","Jalen Suggs, Orlando","Derrick White, Boston","Bam Adebayo, Miami"
Khobi Price,Southern California News Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Jalen Suggs, Orlando","Herbert Jones, New Orleans","Bam Adebayo, Miami","Anthony Davis, Los Angeles Lakers","Rudy Gobert, Minnesota","Alex Caruso, Chicago","Derrick White, Boston","Kentavious Caldwell-Pope, Denver","Jaden McDaniels, Minnesota","Victor Wembanyama, San Antonio"
Jason Quick,The Athletic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Rudy Gobert, Minnesota","Alex Caruso, Chicago","Herbert Jones, New Orleans","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Jaden McDaniels, Minnesota","Derrick White, Boston","Jalen Suggs, Orlando","Kawhi Leonard, LA Clippers"
Duane Rankin,Arizona Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,All-Defense,"Bam Adebayo, Miami","Giannis Antetokounmpo, Milwaukee","Rudy Gobert, Minnesota","Victor Wembanyama, San Antonio","Anthony Davis, Los Angeles Lakers","Jrue Holiday, Boston","Alex Caruso, Chicago","Jaden McDaniels, Minnesota","Kevin Durant, Phoenix","Luguentz Dort, Oklahoma City"
