voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award,all_defensive_first_team,all_defensive_first_team_2,all_defensive_first_team_3,all_defensive_first_team_4,all_defensive_first_team_5,all_defensive_second_team,all_defensive_second_team_2,all_defensive_second_team_3,all_defensive_second_team_4,all_defensive_second_team_5
Kelly Iko,The Athletic,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Arnovitz,ESPN,"Green, Draymond (GSW)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Dort, Luguentz (OKC)","Crowder, Jae (PHX)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Green, Danny (PHI)","Leonard, Kawhi (LAC)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Harlan,Turner,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin O'Connor,The Ringer,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Turner, Myles (IND)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Bridges, Mikal (PHX)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Pelton,ESPN,"Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Thybulle, Matisse (PHI)","Capela, Clint (ATL)","Dort, Luguentz (OKC)","Holiday, Jrue (MIL)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kurt Helin,NBCSports.com,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)","Thybulle, Matisse (PHI)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Smart, Marcus (BOS)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Goon,Southern California News Group,"Green, Draymond (GSW)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Bridges, Mikal (PHX)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Caruso, Alex (LAL)","Smart, Marcus (BOS)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lisa Hsu,Tencent,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Adebayo, Bam (MIA)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Smart, Marcus (BOS)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc Kestecher,ESPN,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maria Taylor,ESPN,"Simmons, Ben (PHI)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","George, Paul (LAC)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
