voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Marc Berman,New York Post,"Budenholzer, Mike (Milwaukee Bucks)","Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Marc Kestecher,ESPN,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Spoelstra, Erik (Miami Heat)",2020,COY
Maria Taylor,ESPN,"Nurse, Nick (Toronto Raptors)","Jenkins, Taylor (Memphis Grizzlies)","Budenholzer, Mike (Milwaukee Bucks)",2020,COY
Mark Jackson,ESPN,"Donovan, Billy (Oklahoma City Thunder)","Nurse, Nick (Toronto Raptors)","Vogel, Frank (Los Angeles Lakers)",2020,COY
Mark Jones,ESPN,"Donovan, Billy (Oklahoma City Thunder)","Budenholzer, Mike (Milwaukee Bucks)","Spoelstra, Erik (Miami Heat)",2020,COY
Mark Medina,USA Today,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Marv Albert,Turner,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Spoelstra, Erik (Miami Heat)",2020,COY
Matt Velazquez,Milwaukee Journal Sentinel,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Matt Winer,Turner,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Maxime Malet,L'Equipe,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Michael Wilbon,ESPN,"Nurse, Nick (Toronto Raptors)","Spoelstra, Erik (Miami Heat)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Mike Breen,ESPN,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Mike Ganter,The Toronto Sun,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Mirjam Swanson,Southern California News Group,"Nurse, Nick (Toronto Raptors)","Vogel, Frank (Los Angeles Lakers)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Nick Kosmider,The Athletic,"Budenholzer, Mike (Milwaukee Bucks)","Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Rachel Nichols,ESPN,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Ramona Shelburne,ESPN,"Nurse, Nick (Toronto Raptors)","Jenkins, Taylor (Memphis Grizzlies)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Remi Reverchon,BeIN Sport (France),"Nurse, Nick (Toronto Raptors)","Malone, Michael (Denver Nuggets)","Vogel, Frank (Los Angeles Lakers)",2020,COY
Renjun Bao,Tencent,"Nurse, Nick (Toronto Raptors)","Spoelstra, Erik (Miami Heat)","Vogel, Frank (Los Angeles Lakers)",2020,COY
Ric Bucher,Bleacher Report,"Budenholzer, Mike (Milwaukee Bucks)","Spoelstra, Erik (Miami Heat)","Nurse, Nick (Toronto Raptors)",2020,COY
Rod Beard,Detroit News,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Royce Young,ESPN,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Spoelstra, Erik (Miami Heat)",2020,COY
Sam Amick,The Athletic,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Seerat Sohi,Yahoo! Sports,"McMillan, Nate (Indiana Pacers)","Vogel, Frank (Los Angeles Lakers)","Nurse, Nick (Toronto Raptors)",2020,COY
Sekou Smith,NBA.com,"Nurse, Nick (Toronto Raptors)","Spoelstra, Erik (Miami Heat)","Malone, Michael (Denver Nuggets)",2020,COY
Shams Charania,The Athletic/Stadium,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","McMillan, Nate (Indiana Pacers)",2020,COY
Shaun Powell,NBA.com,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Simone Sandri,La Gazzetta Dello Sport,"Donovan, Billy (Oklahoma City Thunder)","Nurse, Nick (Toronto Raptors)","Vogel, Frank (Los Angeles Lakers)",2020,COY
Stephen A. Smith,ESPN,"Nurse, Nick (Toronto Raptors)","McMillan, Nate (Indiana Pacers)","Budenholzer, Mike (Milwaukee Bucks)",2020,COY
