voter_name,affiliation,first,first_2,first_3,first_4,first_5,second,second_2,second_3,second_4,second_5,year,award
Jody Genessy,Deseret News,"Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI","Payton, Elfrid -- ORL","Mirotic, Nikola -- CHI","Clarkson, Jordan -- LAL","LaVine, Zach -- MIN","Bogdanovic, Bojan -- BRK","Hood, Rodney -- UTA","Nurkic, Jusuf -- DEN","Smart, Marcus -- BOS",2015,All-Rook
Bill Schoening,WOAI Radio,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI","Clarkson, Jordan -- LAL","Payton, Elfrid -- ORL","LaVine, Zach -- MIN","Bogdanovic, Bojan -- BRK","Hood, Rodney -- UTA","Nurkic, Jusuf -- DEN","Smart, Marcus -- BOS",2015,All-Rook
Matt Pinto,WWLS / 98.1,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Clarkson, Jordan -- LAL","Noel, Nerlens -- PHI","Payton, Elfrid -- ORL","Smart, Marcus -- BOS","LaVine, Zach -- MIN","Hood, Rodney -- UTA","Nurkic, Jusuf -- DEN","Bogdanovic, Bojan -- BRK",2015,All-Rook
Alan Horton,WCCO 830-AM,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI","Payton, Elfrid -- ORL","Clarkson, Jordan -- LAL","Smart, Marcus -- BOS","Bogdanovic, Bojan -- BRK","LaVine, Zach -- MIN","Nurkic, Jusuf -- DEN","Black, Tarik -- LAL",2015,All-Rook
Stefan Bondy,New York Daily News,"Noel, Nerlens -- PHI","Payton, Elfrid -- ORL","Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Smart, Marcus -- BOS","Galloway, Langston -- NY","Clarkson, Jordan -- LAL","LaVine, Zach -- MIN","Nurkic, Jusuf -- DEN","Bogdanovic, Bojan -- BRK",2015,All-Rook
Andre Aldridge,Fox Sports South,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI","Payton, Elfrid -- ORL","Bogdanovic, Bojan -- BRK","Smart, Marcus -- BOS","Clarkson, Jordan -- LAL","LaVine, Zach -- MIN","Nurkic, Jusuf -- DEN","Black, Tarik -- LAL",2015,All-Rook
Tony Fiorentino,Sun Sports,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL","Noel, Nerlens -- PHI","Smart, Marcus -- BOS","Bogdanovic, Bojan -- BRK","LaVine, Zach -- MIN","Papanikolaou, Kostas -- HOU","Nurkic, Jusuf -- DEN","Clarkson, Jordan -- LAL",2015,All-Rook
Bill Land,Fox Sports Southwest,"LaVine, Zach -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL","Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI","Clarkson, Jordan -- LAL","Bogdanovic, Bojan -- BRK","Smart, Marcus -- BOS","Nurkic, Jusuf -- DEN","Galloway, Langston -- NY",2015,All-Rook
Kevin Arnovitz,ESPN.com,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Collins, John (ATL)","Markkanen, Lauri (CHI)","Anunoby, OG (TOR)","Kuzma, Kyle (LAL)","Bogdanovic, Bogdan (SAC)","O'Neale, Royce (UTA)","Adebayo, Bam (MIA)",2018,All-Rook
Richard Walker,Gaston Gazette,"Simmons, Ben (PHI)","Mitchell, Donovan (UTA)","Tatum, Jayson (BOS)","Kuzma, Kyle (LAL)","Markkanen, Lauri (CHI)","Ball, Lonzo (LAL)","Adebayo, Bam (MIA)","Collins, John (ATL)","Ojeleye, Semi (BOS)","Bell, Jordan (GSW)",2018,All-Rook
